video_id,segment_index,n_segments,timestamp_start,timestamp_end,input,target_sentence,target_caption
v_nHE7u40plD0,3,4,98.98,103.34,[101.2s] a man kneeling down on the ground in front of a crowd,A man poses for a picture in front of them.,A woman and a man are sitting on the sidewalk playing music. People stand next to them and watch them play. A little boy holding a yellow ball walks by. A man poses for a picture in front of them.
v_69IsHpmRyfk,0,3,1.89,31.26,[1.9s] a young girl getting her teeth examined by a dentist | [6.8s] a young girl getting her ear examined | [11.7s] a little girl is getting her ear examined | [16.6s] a little girl is getting her hair done | [21.5s] a little girl is sitting in a chair | [26.4s] a little girl is getting her hair done | [31.3s] a woman getting her teeth brushed by a dentist,A young girl is seen sitting in a chair with a person standing next to her.,A young girl is seen sitting in a chair with a person standing next to her. The person next to her then piercing one ear followed by the other. The person rubs lotion on the piercings afterwards.
v_69IsHpmRyfk,1,3,29.36,71.51,[29.4s] a little girl is getting her hair done | [35.4s] a woman getting her teeth brushed by a dentist | [41.4s] a woman is getting her ear examined | [47.4s] a little girl is getting her hair done | [53.4s] a little girl is getting her hair done | [59.5s] a woman is talking on her cell phone | [65.5s] a little girl is getting her hair cut | [71.5s] a little girl with long hair is sitting on the floor,The person next to her then piercing one ear followed by the other.,A young girl is seen sitting in a chair with a person standing next to her. The person next to her then piercing one ear followed by the other. The person rubs lotion on the piercings afterwards.
v_69IsHpmRyfk,2,3,55.41,91.4,[55.4s] a young girl is getting her ear examined | [60.6s] a woman getting her make - up done | [65.7s] a little girl is getting her hair cut | [70.8s] a little girl is getting her nails done | [76.0s] a little girl sitting in the back seat of a car | [81.1s] a woman is getting her nose examined | [86.3s] a little girl is sitting on the couch | [91.4s] a woman is getting her ear examined,The person rubs lotion on the piercings afterwards.,A young girl is seen sitting in a chair with a person standing next to her. The person next to her then piercing one ear followed by the other. The person rubs lotion on the piercings afterwards.
v_D18b2IZpxk0,0,3,0.0,17.7,[0.0s] a man riding on the back of a camel | [5.9s] a man riding on the back of a camel | [11.8s] a man riding on the back of a camel | [17.7s] a man riding on the back of a camel,A woman is shown riding a camel past pyramids in Egypt.,A woman is shown riding a camel past pyramids in Egypt. The camel walks as the woman leans forward. And hand covers the lens as the harness is shown.
v_D18b2IZpxk0,1,3,19.61,88.01,[19.6s] a man riding on top of a camel in the desert | [29.4s] a man riding a camel in the desert | [39.2s] a man riding on the back of a horse | [48.9s] a man riding on top of a camel in the desert | [58.7s] a man riding on the back of a camel | [68.5s] a man riding on the back of a camel | [78.2s] a person on a horse in the desert | [88.0s] an image of a desert area with rocks and debris,The camel walks as the woman leans forward.,A woman is shown riding a camel past pyramids in Egypt. The camel walks as the woman leans forward. And hand covers the lens as the harness is shown.
v_D18b2IZpxk0,2,3,90.88,95.5955,[93.2s] a close up view of the face of a woman,And hand covers the lens as the harness is shown.,A woman is shown riding a camel past pyramids in Egypt. The camel walks as the woman leans forward. And hand covers the lens as the harness is shown.
v_pizl41xmw7k,0,3,0.0,85.18,[0.0s] a hallway with hardwood flooring | [12.2s] a little boy is walking down the stairs | [24.3s] a young boy is standing in the hallway | [36.5s] a little girl with curly hair | [48.7s] a little boy playing with a bat on the floor | [60.8s] a little boy standing in the middle of a room | [73.0s] a small child standing on the floor | [85.2s] a little boy standing in front of a door,A child mops the floor of a hallway in a house.,A child mops the floor of a hallway in a house. The child sets the mop down and plays with her family member. The child walks into the bedroom area and continues to mop the floor.
v_pizl41xmw7k,1,3,27.53,43.02,[27.5s] a woman standing in the middle of a room | [35.3s] a little girl is sitting on the floor | [43.0s] a little girl is standing on the floor,The child sets the mop down and plays with her family member.,A child mops the floor of a hallway in a house. The child sets the mop down and plays with her family member. The child walks into the bedroom area and continues to mop the floor.
v_pizl41xmw7k,2,3,86.04,168.64,[86.0s] a small child standing in front of a door | [97.8s] a little boy standing in front of a christmas tree | [109.6s] a little girl standing in front of a mirror | [121.4s] a little boy is playing with his teddy bear | [133.2s] a little boy is playing with a baseball bat | [145.0s] a man is playing with a baby in the living room | [156.8s] a group of people standing around in a room | [168.6s] a woman is cleaning the floor with a broom,The child walks into the bedroom area and continues to mop the floor.,A child mops the floor of a hallway in a house. The child sets the mop down and plays with her family member. The child walks into the bedroom area and continues to mop the floor.
v_oP77DgsbhKQ,0,4,0.0,40.77,[0.0s] a black and white photo of the moon in the sky | [5.8s] a man laying tile on the floor | [11.6s] a man is kneeling on the floor with paint | [17.5s] a man is pouring cement into a bucket | [23.3s] a bucket filled with cement sitting on the ground | [29.1s] a person is pouring something into a metal bowl | [34.9s] a man is pouring cement into a bucket | [40.8s] a man is kneeling on the floor with paint,A man is seen kneeling down on the floor speaking to the camera.,A man is seen kneeling down on the floor speaking to the camera. The man mixes up various ingredients and begins laying plaster on the floor. He measures the floor and tiles and cuts out a piece of tile to lay on the floor. He continues laying tiles on the floor while looking back to speak to the camera.
v_oP77DgsbhKQ,1,4,41.85,119.1,[41.9s] a man is sitting on the floor with paint | [52.9s] a person is putting cement into the floor | [63.9s] a man is measuring the floor with a tape | [75.0s] a man is measuring the floor with a tape | [86.0s] a man is working on a piece of wood | [97.0s] a man is cutting wood with a knife | [108.1s] a man using a tile cutter on the floor | [119.1s] a man is laying tile on the floor,The man mixes up various ingredients and begins laying plaster on the floor.,A man is seen kneeling down on the floor speaking to the camera. The man mixes up various ingredients and begins laying plaster on the floor. He measures the floor and tiles and cuts out a piece of tile to lay on the floor. He continues laying tiles on the floor while looking back to speak to the camera.
v_oP77DgsbhKQ,2,4,96.57,170.61,[96.6s] a man is working on a piece of wood | [107.1s] a person using a tile cutter on the floor | [117.7s] how to make a table saw | [128.3s] a man laying tile on the floor | [138.9s] a man laying tile on the floor | [149.5s] how to install a shower grate | [160.0s] a man laying tile on the floor | [170.6s] a man kneeling down on the floor to install tile,He measures the floor and tiles and cuts out a piece of tile to lay on the floor.,A man is seen kneeling down on the floor speaking to the camera. The man mixes up various ingredients and begins laying plaster on the floor. He measures the floor and tiles and cuts out a piece of tile to lay on the floor. He continues laying tiles on the floor while looking back to speak to the camera.
v_oP77DgsbhKQ,3,4,168.46,214.50595833333333,[168.5s] how to install a tile floor youtube | [175.0s] a man kneeling down on the floor with cement | [181.6s] a man laying tile on the floor | [188.2s] how to install ceramic floor tile youtube | [194.8s] a man kneeling on the floor next to a bucket | [201.3s] a man kneeling on the floor in front of a wall | [207.9s] an empty room with tile floor and white walls | [214.5s] a black and white photo of the moon in the sky,He continues laying tiles on the floor while looking back to speak to the camera.,A man is seen kneeling down on the floor speaking to the camera. The man mixes up various ingredients and begins laying plaster on the floor. He measures the floor and tiles and cuts out a piece of tile to lay on the floor. He continues laying tiles on the floor while looking back to speak to the camera.
v_fzp5ooc727c,0,9,0.0,14.83,[0.0s] a black and white image of the title for the film ' s title | [7.4s] a group of people walking down a street | [14.8s] a group of men walking down the street,Two lines of young men are walking side by side down a road.,"Two lines of young men are walking side by side down a road. Then one man stands in a field holding a wooden object and begins twisting it. He then bends down and grabs a ball. After,the ball is placed on the ground and he picks it up and hits it as if he's playing baseball. The ball is thrown back and he its it again. Shortly after, a field of men are shown and they begin playing a game against one another. There was a penalty and one players attempts to hit the ball into the goal from the side. After,everyone is pictured lying down on the ground as if they are dead but one person begins to sit up but gets hit in the head by the ball and lays back down. Lastly,the screen flashes to a black screen and the words The End are shown."
v_fzp5ooc727c,1,9,15.57,32.63,[15.6s] a group of men walking down the street | [21.3s] an old black and white photo of a man playing golf | [26.9s] a man holding a baseball bat in his hand | [32.6s] a black and white photo of a person holding a baseball bat,Then one man stands in a field holding a wooden object and begins twisting it.,"Two lines of young men are walking side by side down a road. Then one man stands in a field holding a wooden object and begins twisting it. He then bends down and grabs a ball. After,the ball is placed on the ground and he picks it up and hits it as if he's playing baseball. The ball is thrown back and he its it again. Shortly after, a field of men are shown and they begin playing a game against one another. There was a penalty and one players attempts to hit the ball into the goal from the side. After,everyone is pictured lying down on the ground as if they are dead but one person begins to sit up but gets hit in the head by the ball and lays back down. Lastly,the screen flashes to a black screen and the words The End are shown."
v_fzp5ooc727c,2,9,32.63,44.5,[32.6s] a black and white photo of a person holding a baseball bat | [44.5s] a black and white photo of a man holding a baseball bat,He then bends down and grabs a ball.,"Two lines of young men are walking side by side down a road. Then one man stands in a field holding a wooden object and begins twisting it. He then bends down and grabs a ball. After,the ball is placed on the ground and he picks it up and hits it as if he's playing baseball. The ball is thrown back and he its it again. Shortly after, a field of men are shown and they begin playing a game against one another. There was a penalty and one players attempts to hit the ball into the goal from the side. After,everyone is pictured lying down on the ground as if they are dead but one person begins to sit up but gets hit in the head by the ball and lays back down. Lastly,the screen flashes to a black screen and the words The End are shown."
v_fzp5ooc727c,3,9,44.5,65.26,[44.5s] a black and white photo of a man holding a baseball bat | [49.7s] a black and white photo of a man playing baseball | [54.9s] a black and white photo of a man playing golf | [60.1s] a man swinging a bat at a baseball game | [65.3s] a black and white photo of a man playing baseball,"After,the ball is placed on the ground and he picks it up and hits it as if he's playing baseball.","Two lines of young men are walking side by side down a road. Then one man stands in a field holding a wooden object and begins twisting it. He then bends down and grabs a ball. After,the ball is placed on the ground and he picks it up and hits it as if he's playing baseball. The ball is thrown back and he its it again. Shortly after, a field of men are shown and they begin playing a game against one another. There was a penalty and one players attempts to hit the ball into the goal from the side. After,everyone is pictured lying down on the ground as if they are dead but one person begins to sit up but gets hit in the head by the ball and lays back down. Lastly,the screen flashes to a black screen and the words The End are shown."
v_fzp5ooc727c,4,9,66.74,72.68,[69.7s] an old black and white photo of a man playing baseball,The ball is thrown back and he its it again.,"Two lines of young men are walking side by side down a road. Then one man stands in a field holding a wooden object and begins twisting it. He then bends down and grabs a ball. After,the ball is placed on the ground and he picks it up and hits it as if he's playing baseball. The ball is thrown back and he its it again. Shortly after, a field of men are shown and they begin playing a game against one another. There was a penalty and one players attempts to hit the ball into the goal from the side. After,everyone is pictured lying down on the ground as if they are dead but one person begins to sit up but gets hit in the head by the ball and lays back down. Lastly,the screen flashes to a black screen and the words The End are shown."
v_fzp5ooc727c,5,9,74.16,107.53,[74.2s] an old photo of a man playing tennis | [78.9s] a black and white photo of a man swinging a tennis racket | [83.7s] a black and white photo of a man playing baseball | [88.5s] two men are playing baseball in the street | [93.2s] a black and white photo of two men playing golf | [98.0s] a black and white photo of a man playing baseball | [102.8s] a group of men playing soccer on a field | [107.5s] a black and white photo of a man swinging a bat,"Shortly after, a field of men are shown and they begin playing a game against one another.","Two lines of young men are walking side by side down a road. Then one man stands in a field holding a wooden object and begins twisting it. He then bends down and grabs a ball. After,the ball is placed on the ground and he picks it up and hits it as if he's playing baseball. The ball is thrown back and he its it again. Shortly after, a field of men are shown and they begin playing a game against one another. There was a penalty and one players attempts to hit the ball into the goal from the side. After,everyone is pictured lying down on the ground as if they are dead but one person begins to sit up but gets hit in the head by the ball and lays back down. Lastly,the screen flashes to a black screen and the words The End are shown."
v_fzp5ooc727c,6,9,106.05,130.52,[106.0s] a group of men playing baseball on a field | [110.9s] a black and white photo of two men playing soccer | [115.8s] a black and white photo of a baseball game | [120.7s] a black and white photo of two men playing soccer | [125.6s] a group of people swimming in the water | [130.5s] a group of men diving in the water,There was a penalty and one players attempts to hit the ball into the goal from the side.,"Two lines of young men are walking side by side down a road. Then one man stands in a field holding a wooden object and begins twisting it. He then bends down and grabs a ball. After,the ball is placed on the ground and he picks it up and hits it as if he's playing baseball. The ball is thrown back and he its it again. Shortly after, a field of men are shown and they begin playing a game against one another. There was a penalty and one players attempts to hit the ball into the goal from the side. After,everyone is pictured lying down on the ground as if they are dead but one person begins to sit up but gets hit in the head by the ball and lays back down. Lastly,the screen flashes to a black screen and the words The End are shown."
v_fzp5ooc727c,7,9,129.78,137.94,[129.8s] a group of people swimming in the water | [137.9s] a man sitting on top of a rock,"After,everyone is pictured lying down on the ground as if they are dead but one person begins to sit up but gets hit in the head by the ball and lays back down.","Two lines of young men are walking side by side down a road. Then one man stands in a field holding a wooden object and begins twisting it. He then bends down and grabs a ball. After,the ball is placed on the ground and he picks it up and hits it as if he's playing baseball. The ball is thrown back and he its it again. Shortly after, a field of men are shown and they begin playing a game against one another. There was a penalty and one players attempts to hit the ball into the goal from the side. After,everyone is pictured lying down on the ground as if they are dead but one person begins to sit up but gets hit in the head by the ball and lays back down. Lastly,the screen flashes to a black screen and the words The End are shown."
v_fzp5ooc727c,8,9,137.94,148.24,[137.9s] a man sitting on top of a rock | [148.2s] a black and white logo for the end,"Lastly,the screen flashes to a black screen and the words The End are shown.","Two lines of young men are walking side by side down a road. Then one man stands in a field holding a wooden object and begins twisting it. He then bends down and grabs a ball. After,the ball is placed on the ground and he picks it up and hits it as if he's playing baseball. The ball is thrown back and he its it again. Shortly after, a field of men are shown and they begin playing a game against one another. There was a penalty and one players attempts to hit the ball into the goal from the side. After,everyone is pictured lying down on the ground as if they are dead but one person begins to sit up but gets hit in the head by the ball and lays back down. Lastly,the screen flashes to a black screen and the words The End are shown."
